The rightmost column contains computed values for __C
X	NoNoise	Noisy
0.000000	0.000000	27.033945	-52.128093
0.500000	5.022466	17.632851	-46.940087
1.000000	10.089728	32.331516	-41.706531
1.500000	15.201575	7.803099	-36.427640
2.000000	20.357788	-0.751059	-31.103635
2.500000	25.558140	32.278397	-25.734747
3.000000	30.802398	29.247561	-20.321215
3.500000	36.090318	34.707194	-14.863284
4.000000	41.421650	56.458225	-9.361210
4.500000	46.796136	56.766681	-3.815257
5.000000	52.213507	35.725980	1.774305
5.500000	57.673486	35.908953	7.407193
6.000000	63.175789	72.670392	13.083117
6.500000	68.720121	59.425638	18.801777
7.000000	74.306178	76.802043	24.562866
7.500000	79.933647	80.873672	30.366064
8.000000	85.602204	110.686108	36.211043
8.500000	91.311518	58.319514	42.097464
9.000000	97.061245	103.324028	48.024979
9.500000	102.851033	94.239075	53.993230
10.000000	108.680518	123.368797	60.001847
10.500000	114.549327	103.697864	66.050449
11.000000	120.457075	120.253548	72.138647
11.500000	126.403367	126.795957	78.266039
12.000000	132.387797	128.090195	84.432210
12.500000	138.409948	131.646529	90.636737
13.000000	144.469390	140.267591	96.879184
13.500000	150.565684	133.060752	103.159103
14.000000	156.698377	142.738691	109.476035
14.500000	162.867005	139.375098	115.829507
15.000000	169.071093	161.718697	122.219036
15.500000	175.310152	133.743352	128.644125
16.000000	181.583682	183.602264	135.104265
16.500000	187.891169	179.417525	141.598935
17.000000	194.232088	200.458501	148.127600
17.500000	200.605900	168.513457	154.689711
18.000000	207.012053	162.302743	161.284708
18.500000	213.449982	208.753802	167.912017
19.000000	219.919109	255.384350	174.571048
19.500000	226.418841	236.970222	181.261201
20.000000	232.948574	219.313518	187.981859
20.500000	239.507687	242.202480	194.732393
21.000000	246.095547	236.003911	201.512158
21.500000	252.711506	259.253648	208.320495
22.000000	259.354903	265.204103	215.156732
22.500000	266.025061	281.438513	222.020180
23.000000	272.721288	288.775881	228.910137
23.500000	279.442879	290.561056	235.825885
24.000000	286.189113	310.950064	242.766691
24.500000	292.959254	269.689913	249.731807
25.000000	299.752552	252.538489	256.720470
25.500000	306.568239	338.571399	263.731899
26.000000	313.405534	302.962894	270.765300
26.500000	320.263640	329.378684	277.819862
27.000000	327.141743	313.549881	284.894758
27.500000	334.039015	321.702964	291.989146
28.000000	340.954610	357.615150	299.102166
28.500000	347.887668	350.861049	306.232942
29.000000	354.837311	355.561397	313.380583
29.500000	361.802646	385.537592	320.544181
30.000000	368.782763	387.561111	327.722809
30.500000	375.776735	427.991821	334.915525
31.000000	382.783619	393.708498	342.121372
31.500000	389.802456	385.340189	349.339372
32.000000	396.832268	426.853591	356.568532
32.500000	403.872063	413.304299	363.807844
33.000000	410.920829	424.359992	371.056278
33.500000	417.977540	431.506078	378.312790
34.000000	425.041151	452.108500	385.576318
34.500000	432.110599	427.261711	392.845782
35.000000	439.184806	445.552536	400.120085
35.500000	446.262675	446.705181	407.398112
36.000000	453.343092	491.314807	414.678730
36.500000	460.424927	437.368363	421.960789
37.000000	467.507030	445.155281	429.243121
37.500000	474.588235	513.065311	436.524540
38.000000	481.667359	474.323700	443.803842
38.500000	488.743200	493.300522	451.079807
39.000000	495.814539	454.680284	458.351194
39.500000	502.880141	481.114869	465.616747
40.000000	509.938750	536.620472	472.875189
40.500000	516.989096	525.602904	480.125229
41.000000	524.029889	564.851351	487.365556
41.500000	531.059823	527.831335	494.594840
42.000000	538.077573	512.833610	501.811735
42.500000	545.081798	548.487722	509.014877
43.000000	552.071138	519.691894	516.202884
43.500000	559.044217	545.117264	523.374356
44.000000	565.999640	542.068689	530.527875
44.500000	572.935997	600.442185	537.662006
45.000000	579.851860	590.378802	544.775297
45.500000	586.745781	616.525211	551.866278
46.000000	593.616298	560.261650	558.933461
46.500000	600.461932	577.063159	565.975341
47.000000	607.281187	583.194859	572.990397
47.500000	614.072547	604.480449	579.977090
48.000000	620.834485	616.040021	586.933864
48.500000	627.565452	631.867228	593.859146
49.000000	634.263886	623.651815	600.751347
49.500000	640.928208	615.120109	607.608862
50.000000	647.556822	635.824573	614.430067
50.500000	654.148118	621.515437	621.213325
51.000000	660.700468	631.920284	627.956982
51.500000	667.212230	658.403984	634.659367
52.000000	673.681747	648.457540	641.318795
52.500000	680.107344	703.663864	647.933565
53.000000	686.487336	686.279563	654.501960
53.500000	692.820018	674.579284	661.022249
54.000000	699.103675	704.038439	667.492687
54.500000	705.336575	736.482935	673.911513
55.000000	711.516973	734.233287	680.276953
55.500000	717.643110	757.876045	686.587218
56.000000	723.713215	723.885117	692.840507
56.500000	729.725502	690.552556	699.035005
57.000000	735.678173	735.956067	705.168883
57.500000	741.569419	769.796644	711.240300
58.000000	747.397417	712.588085	717.247404
58.500000	753.160332	778.246636	723.188330
59.000000	758.856320	754.839627	729.061201
59.500000	764.483523	759.051752	734.864129
60.000000	770.040074	749.020022	740.595215
60.500000	775.524097	739.586633	746.252551
61.000000	780.933703	784.009007	751.834217
61.500000	786.266997	769.015614	757.338285
