The rightmost column contains computed values for __C
X	NoNoise	Noisy
0.000000	0.000000	27.033945	170.049085
0.500000	5.022466	17.632851	174.736698
1.000000	10.089728	32.331516	179.469305
1.500000	15.201575	7.803099	184.246697
2.000000	20.357788	-0.751059	189.068652
2.500000	25.558140	32.278397	193.934944
3.000000	30.802398	29.247561	198.845336
3.500000	36.090318	34.707194	203.799586
4.000000	41.421650	56.458225	208.797442
4.500000	46.796136	56.766681	213.838643
5.000000	52.213507	35.725980	218.922921
5.500000	57.673486	35.908953	224.049998
6.000000	63.175789	72.670392	229.219586
6.500000	68.720121	59.425638	234.431391
7.000000	74.306178	76.802043	239.685107
7.500000	79.933647	80.873672	244.980420
8.000000	85.602204	110.686108	250.317004
8.500000	91.311518	58.319514	255.694527
9.000000	97.061245	103.324028	261.112643
9.500000	102.851033	94.239075	266.570998
10.000000	108.680518	123.368797	272.069228
10.500000	114.549327	103.697864	277.606957
11.000000	120.457075	120.253548	283.183799
11.500000	126.403367	126.795957	288.799356
12.000000	132.387797	128.090195	294.453222
12.500000	138.409948	131.646529	300.144976
13.000000	144.469390	140.267591	305.874189
13.500000	150.565684	133.060752	311.640417
14.000000	156.698377	142.738691	317.443206
14.500000	162.867005	139.375098	323.282092
15.000000	169.071093	161.718697	329.156595
15.500000	175.310152	133.743352	335.066225
16.000000	181.583682	183.602264	341.010479
16.500000	187.891169	179.417525	346.988843
17.000000	194.232088	200.458501	353.000787
17.500000	200.605900	168.513457	359.045771
18.000000	207.012053	162.302743	365.123240
18.500000	213.449982	208.753802	371.232627
19.000000	219.919109	255.384350	377.373350
19.500000	226.418841	236.970222	383.544816
20.000000	232.948574	219.313518	389.746416
20.500000	239.507687	242.202480	395.977527
21.000000	246.095547	236.003911	402.237513
21.500000	252.711506	259.253648	408.525724
22.000000	259.354903	265.204103	414.841495
22.500000	266.025061	281.438513	421.184146
23.000000	272.721288	288.775881	427.552982
23.500000	279.442879	290.561056	433.947296
24.000000	286.189113	310.950064	440.366363
24.500000	292.959254	269.689913	446.809443
25.000000	299.752552	252.538489	453.275783
25.500000	306.568239	338.571399	459.764612
26.000000	313.405534	302.962894	466.275146
26.500000	320.263640	329.378684	472.806583
27.000000	327.141743	313.549881	479.358107
27.500000	334.039015	321.702964	485.928885
28.000000	340.954610	357.615150	492.518068
28.500000	347.887668	350.861049	499.124791
29.000000	354.837311	355.561397	505.748174
29.500000	361.802646	385.537592	512.387318
30.000000	368.782763	387.561111	519.041310
30.500000	375.776735	427.991821	525.709219
31.000000	382.783619	393.708498	532.390098
31.500000	389.802456	385.340189	539.082983
32.000000	396.832268	426.853591	545.786893
32.500000	403.872063	413.304299	552.500829
33.000000	410.920829	424.359992	559.223777
33.500000	417.977540	431.506078	565.954705
34.000000	425.041151	452.108500	572.692563
34.500000	432.110599	427.261711	579.436285
35.000000	439.184806	445.552536	586.184787
35.500000	446.262675	446.705181	592.936968
36.000000	453.343092	491.314807	599.691708
36.500000	460.424927	437.368363	606.447871
37.000000	467.507030	445.155281	613.204304
37.500000	474.588235	513.065311	619.959836
38.000000	481.667359	474.323700	626.713276
38.500000	488.743200	493.300522	633.463419
39.000000	495.814539	454.680284	640.209041
39.500000	502.880141	481.114869	646.948899
40.000000	509.938750	536.620472	653.681734
40.500000	516.989096	525.602904	660.406268
41.000000	524.029889	564.851351	667.121208
41.500000	531.059823	527.831335	673.825239
42.000000	538.077573	512.833610	680.517032
42.500000	545.081798	548.487722	687.195240
43.000000	552.071138	519.691894	693.858497
43.500000	559.044217	545.117264	700.505420
44.000000	565.999640	542.068689	707.134609
44.500000	572.935997	600.442185	713.744646
45.000000	579.851860	590.378802	720.334097
45.500000	586.745781	616.525211	726.901509
46.000000	593.616298	560.261650	733.445413
46.500000	600.461932	577.063159	739.964323
