X	NoNoise	Noisy
The data file columns (and lags) used for ALN inputs and output are:
__A	__B	__C	ALNfitDeep
6.000000	63.175789	72.670392	-85.899941
7.500000	79.933647	80.873672	-80.405414
17.000000	194.232088	200.458501	-43.147843
21.500000	252.711506	259.253648	-24.193166
28.000000	340.954610	357.615150	4.321958
36.500000	460.424927	437.368363	42.838253
37.500000	474.588235	513.065311	47.402097
41.500000	531.059823	527.831335	65.602776
46.000000	593.616298	560.261650	85.785212
58.500000	753.160332	778.246636	137.564155
73.000000	883.406162	876.333348	181.117735
81.000000	913.967872	929.036806	192.710861
85.000000	914.998672	892.134258	194.216184
85.500000	914.393960	895.628020	194.183445
87.500000	910.276209	928.256601	193.540886
88.500000	907.177284	865.647448	192.906408
91.500000	893.588711	860.267572	189.710547
100.000000	818.367684	770.699094	169.597781
110.000000	657.714698	746.220677	124.206252
111.500000	626.987384	588.046282	115.401166
114.000000	572.126059	601.193052	99.627126
120.500000	409.693817	416.072025	52.654250
122.000000	368.558662	372.251547	40.714962
123.500000	326.224722	381.863636	28.414673
125.000000	282.786444	258.289414	15.781826
129.000000	162.350985	172.072837	-19.291020
147.000000	-400.922475	-461.259869	-183.537259
149.500000	-472.076585	-491.250546	-204.217684
155.500000	-623.998744	-543.001744	-248.174933
156.000000	-635.197527	-604.401281	-251.397954
156.500000	-646.140986	-616.893563	-254.544087
168.000000	-813.723632	-893.161662	-301.574312
172.000000	-827.521772	-763.308705	-304.534555
180.000000	-776.387296	-687.842409	-286.746177
182.000000	-746.903078	-818.098985	-277.269889
188.000000	-619.998627	-587.407447	-237.261708
190.500000	-551.289030	-644.661565	-215.823784
200.500000	-204.114155	-190.541235	-108.288788
206.000000	16.208140	16.287586	-40.298260
213.000000	294.627306	316.823606	45.635563
214.500000	350.718545	404.950460	62.974886
215.500000	386.966749	394.781222	74.189343
223.000000	618.048133	585.913917	146.017301
230.000000	743.326214	723.567613	185.834446
233.500000	764.792700	817.159170	193.344377
238.500000	743.271434	760.266830	188.357131
246.000000	596.753458	551.418785	146.475381
255.500000	249.511128	108.603186	44.745252
261.000000	1.979011	29.864064	-28.153201
267.000000	-267.878837	-171.710664	-107.625427
271.000000	-429.087076	-344.100955	-154.976527
272.000000	-465.429680	-523.523244	-165.621957
286.000000	-713.308152	-773.127966	-236.085529
294.000000	-587.418458	-552.653689	-195.785477
294.500000	-573.184931	-517.547866	-191.349850
311.500000	171.574386	168.355201	38.004223
312.500000	219.038954	185.026215	52.596360
317.500000	434.044033	452.640261	118.836305
318.000000	452.783610	463.196874	124.628877
318.500000	470.908048	523.973019	130.236207
329.500000	670.425991	695.077643	193.604742
330.500000	666.738477	502.263733	192.793017
336.000000	578.711963	597.606345	167.927844
339.500000	467.762771	444.392776	135.562315
345.000000	227.956185	263.377536	64.990317
364.500000	-597.463485	-444.064993	-177.750150
366.500000	-623.090199	-484.149297	-184.869886
376.000000	-508.280245	-607.973614	-147.458279
381.000000	-309.423417	-237.495985	-86.081194
388.500000	78.464217	-116.988127	32.967164
393.000000	304.417004	488.070091	102.354522
403.000000	590.345112	699.169037	191.445758
407.000000	579.404159	671.384720	189.345925
407.500000	572.544495	642.141200	187.429580
414.000000	382.662318	280.268404	132.190471
415.000000	339.261820	422.623637	119.419637
419.000000	140.952604	281.754332	60.896004
419.500000	114.259792	-22.878707	53.007135
420.000000	87.332753	-71.749941	45.047730
430.000000	-408.436577	-489.673529	-101.260235
434.500000	-533.518889	-689.753160	-137.583063
436.500000	-557.690349	-606.519742	-144.264566
439.000000	-558.188644	-557.687525	-143.667804
440.500000	-542.508369	-113.679666	-138.497778
441.500000	-525.537714	-595.773683	-133.088533
442.000000	-515.149009	-441.576240	-129.810731
443.500000	-476.661267	-499.455043	-117.772498
444.000000	-461.490402	-563.178851	-113.054603
454.500000	37.764068	-186.075342	40.426780
455.000000	65.112627	89.603861	48.811848
456.000000	119.172783	214.753450	65.390170
464.500000	474.362971	490.529589	174.890795
465.000000	486.065013	512.679677	178.564094
469.000000	530.919272	419.891194	193.266348
474.000000	460.580163	129.638999	173.578169
483.000000	59.546868	-42.997472	55.500146
486.000000	-104.767437	69.549639	6.914963
493.500000	-430.232799	-497.812418	-88.854737
494.000000	-443.685044	-620.514216	-92.756362
495.500000	-475.937662	-682.337388	-102.020776
504.000000	-410.352592	-515.131167	-79.731405
506.000000	-337.569572	-252.910384	-57.216180
511.500000	-67.054818	-68.317295	25.889229
513.000000	15.081665	356.070180	51.071779
516.000000	174.874512	185.975498	100.087740
520.500000	369.904666	728.007298	160.163102
522.000000	415.215319	297.697879	174.255976
525.000000	467.809235	262.379671	190.990211
527.500000	469.438276	670.435754	192.227596
528.500000	459.137164	698.029828	189.424262
538.500000	80.030129	125.293187	78.247807
539.000000	53.090189	238.397017	70.284517
542.500000	-134.372366	27.491678	14.877868
544.500000	-232.430767	152.812247	-14.053838
560.000000	-296.397979	-702.167925	-28.686557
561.000000	-254.005652	-258.993362	-15.621867
566.500000	25.177876	-54.091643	70.094044
573.500000	340.897272	36.154161	167.260403
585.500000	268.508829	78.086241	149.046182
587.000000	202.987047	88.376282	129.763141
593.000000	-102.347006	-43.807193	39.607663
595.000000	-198.346107	37.454465	11.296091
596.500000	-261.641571	-114.886315	-7.316519
597.000000	-280.599058	-412.186464	-12.875985
597.500000	-298.350369	-127.332759	-18.072225
600.500000	-375.759836	-829.813715	-40.487015
602.500000	-396.035187	-526.588874	-45.995249
608.000000	-315.611547	-312.657420	-20.133594
611.500000	-177.355347	-342.283890	22.546217
626.000000	371.920830	276.575511	192.285971
632.500000	261.897919	-56.920256	161.095563
637.500000	39.169368	232.688285	95.517055
638.000000	14.291594	518.628745	88.174763
641.000000	-131.227961	41.628116	45.249403
647.500000	-337.368827	-709.626757	-14.885823
659.000000	-83.499628	-736.985630	64.999332
665.000000	191.090817	502.038859	149.481453
670.000000	320.042697	371.433420	189.807466
682.500000	0.460410	-452.002976	97.303023
688.000000	-225.401311	-1262.675532	30.930361
692.500000	-306.047152	556.854782	7.989066
701.000000	-116.041531	-29.276711	67.746256
703.500000	-6.653721	154.800860	101.433957
726.500000	-95.056882	383.017846	81.683087
727.500000	-133.114997	-1063.263783	70.521051
732.500000	-257.050389	-754.897529	34.692968
734.000000	-265.725227	-377.060248	32.528731
737.500000	-229.788109	-204.350736	44.396326
739.000000	-192.556587	-393.185145	56.056262
740.000000	-161.833723	7.357510	65.606827
740.500000	-144.984922	989.689596	70.830013
741.000000	-127.285362	-325.630702	76.309396
756.000000	232.298529	-246.838764	189.074861
761.500000	86.294359	365.598879	146.750383
763.500000	10.691057	854.410007	124.580772
768.000000	-147.489435	-788.564974	78.290807
774.000000	-224.793911	103.574348	56.803816
778.000000	-160.276286	-586.559850	77.427466
786.000000	107.178394	350.103288	160.358188
794.000000	196.934868	1137.129475	189.777136
794.500000	190.673172	53.269165	188.040862
807.000000	-155.661438	-1026.171020	87.480265
810.500000	-189.406574	-476.774758	78.363850
820.500000	23.055963	-272.808464	145.331774
834.500000	87.320398	-367.692951	168.866452
839.500000	-52.192391	139.235718	128.347415
842.500000	-119.955078	548.676619	108.837642
849.000000	-135.338277	-172.228527	106.146896
852.000000	-79.991224	-927.767061	123.710206
853.500000	-43.319461	118.605675	135.201577
869.500000	65.405660	244.024665	172.722534
872.000000	8.263260	-87.554836	156.261575
888.500000	-15.158093	-2278.009321	154.137503
889.000000	-4.715448	-73.018686	157.431549
891.000000	35.681975	692.495325	170.194223
892.000000	53.832206	475.691796	175.958684
892.500000	62.113507	197.393080	178.601866
895.000000	92.993921	686.651714	188.647966
903.000000	49.478524	1491.107237	177.933622
906.500000	-12.402396	-739.425755	160.344440
912.500000	-83.936902	-889.553122	140.595009
914.500000	-85.080997	-442.437614	140.847932
915.000000	-83.380530	540.643903	141.509372
918.500000	-52.413589	2528.708898	151.880256
924.000000	27.470046	-889.350102	177.579294
926.000000	50.970552	1066.332795	185.253656
934.000000	47.974277	4538.979283	186.741180
936.000000	26.083360	-2794.318058	180.746437
941.500000	-36.229137	2670.091554	163.624744
946.500000	-53.278362	-883.540991	159.984202
955.500000	14.085202	1373.222857	182.958511
957.000000	25.122033	-627.405586	186.730216
958.500000	33.174207	-4022.086038	189.603127
963.000000	35.707078	-2905.201139	191.710144
966.000000	21.824183	1055.453838	188.425652
974.000000	-20.920231	2288.165895	177.943481
976.500000	-23.322086	2161.217858	177.967008
985.500000	2.336947	-2083.883577	188.382476
986.000000	3.672806	-1569.370876	188.934118
986.500000	4.870161	-748.627009	189.444051
