X	NoNoise	Noisy
The data file columns (and lags) used for ALN inputs and output are:
__A	__B	__C	ALNfitDeep
0.000000	0.000000	27.033945	170.049085
0.500000	5.022466	17.632851	174.736698
2.500000	25.558140	32.278397	193.934944
4.500000	46.796136	56.766681	213.838643
22.000000	259.354903	265.204103	414.841495
24.000000	286.189113	310.950064	440.366363
26.000000	313.405534	302.962894	466.275146
27.500000	334.039015	321.702964	485.928885
29.000000	354.837311	355.561397	505.748174
32.000000	396.832268	426.853591	545.786893
34.000000	425.041151	452.108500	572.692563
36.000000	453.343092	491.314807	599.691708
40.000000	509.938750	536.620472	653.681734
44.000000	565.999640	542.068689	707.134609
46.500000	600.461932	577.063159	739.964323
51.000000	660.700468	631.920284	797.256222
63.000000	801.789901	774.511780	930.400796
64.500000	816.556898	781.775455	944.161892
71.500000	873.923087	867.186712	996.782388
77.500000	904.985837	903.350683	1023.696655
78.000000	906.705730	870.096901	1025.066968
80.500000	913.130595	906.027931	1029.734234
88.500000	907.177284	865.647448	1018.038382
91.000000	896.307955	951.335512	1005.334338
99.500000	824.342049	800.144801	926.974286
100.500000	812.196707	818.462216	914.060287
103.500000	771.034821	754.551384	870.571358
109.500000	667.583697	660.417908	762.371940
113.500000	583.455814	581.830811	675.010927
116.000000	525.075119	602.025736	614.583659
119.500000	436.408036	437.543347	523.020453
120.000000	423.123901	440.037703	509.319833
122.000000	368.558662	372.251547	453.082284
122.500000	354.576038	334.204010	438.680060
128.000000	193.012149	231.781782	272.465997
136.000000	-58.713065	-31.732284	13.902322
147.500000	-415.450960	-391.445295	-352.643043
150.500000	-499.401790	-462.352541	-439.111716
153.000000	-564.401268	-578.951604	-506.187282
167.000000	-806.380101	-709.689171	-759.248111
170.500000	-825.325759	-833.191306	-780.778996
178.500000	-794.134652	-799.219014	-755.164799
182.000000	-746.903078	-818.098985	-710.223361
192.000000	-506.042418	-518.384974	-475.433673
195.000000	-407.430231	-355.492087	-378.525261
197.000000	-336.414423	-348.017644	-308.621786
204.500000	-44.652044	-56.588313	-20.917153
213.000000	294.627306	316.823606	313.801833
216.000000	404.705186	405.953384	422.227063
220.000000	535.555120	421.947518	550.802474
227.000000	702.281567	698.623214	713.270875
230.000000	743.326214	723.567613	752.355048
230.500000	748.178041	826.264739	756.871259
235.000000	764.868833	825.836644	770.421231
241.500000	700.604535	802.951846	701.226127
250.500000	450.450258	472.104778	443.525895
256.500000	205.865509	178.414075	193.563523
260.500000	24.955575	-33.054233	8.988898
265.000000	-180.219189	-140.748963	-200.316007
276.500000	-603.051111	-657.813072	-633.250119
279.000000	-657.902977	-617.539986	-690.132823
284.500000	-714.356284	-751.918944	-750.767606
287.500000	-705.017736	-684.583606	-743.530915
289.500000	-682.741322	-794.931718	-722.584166
292.000000	-637.262048	-579.312035	-678.688344
298.000000	-455.438474	-603.654594	-500.340996
304.500000	-171.628440	-154.628788	-219.909670
317.000000	414.716282	474.159365	360.118381
322.000000	578.448160	635.515178	521.007859
331.000000	663.447060	683.076011	599.955285
333.000000	640.703561	649.953801	575.681372
334.000000	623.674147	637.256974	557.861522
352.000000	-130.284870	-100.616299	-212.320457
358.000000	-407.882336	-421.888940	-495.442752
361.500000	-528.581418	-342.972560	-619.180790
365.000000	-605.452147	-523.763665	-698.895041
395.000000	391.112322	351.554417	280.678230
400.000000	547.767150	319.703205	434.459102
405.000000	594.692567	525.318511	478.021268
405.500000	592.707575	521.526029	475.670175
407.500000	572.544495	642.141200	453.988188
408.000000	564.490824	368.177176	445.541354
411.000000	492.111599	532.308191	370.695886
414.500000	361.345055	268.102023	236.845494
415.000000	339.261820	422.623637	214.306538
419.500000	114.259792	-22.878707	-14.914042
424.000000	-129.324077	-99.320018	-262.799322
433.000000	-502.126548	-581.898004	-643.694649
